Date,Name,Year,Letterboxd URI,Rating
2023-06-17,Parasite,2019,https://boxd.it/hTha,5
2023-06-17,Fight Club,1999,https://boxd.it/2a9q,4
2023-06-17,Knives Out,2019,https://boxd.it/jWEA,4
2023-06-17,Joker,2019,https://boxd.it/h4cS,4
2023-06-17,The Batman,2022,https://boxd.it/eDGs,3.5
2023-06-17,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,5
2023-06-17,Pulp Fiction,1994,https://boxd.it/29Pq,4
2023-06-17,Get Out,2017,https://boxd.it/eOCm,5
2023-06-17,Interstellar,2014,https://boxd.it/4VZ8,5
2023-06-17,Inception,2010,https://boxd.it/1skk,5
2023-06-17,The Dark Knight,2008,https://boxd.it/2b0k,5
2023-06-17,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,4
2023-06-17,La La Land,2016,https://boxd.it/a5fa,3.5
2023-06-17,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,3.5
2023-06-17,The Menu,2022,https://boxd.it/lScm,4.5
2023-06-17,American Psycho,2000,https://boxd.it/28Vs,3.5
2023-06-17,Dune,2021,https://boxd.it/fA7G,5
2023-06-17,The Wolf of Wall Street,2013,https://boxd.it/3C1m,4
2023-06-17,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,4
2023-06-17,The Truman Show,1998,https://boxd.it/18U8,4
2023-06-17,Spirited Away,2001,https://boxd.it/2b4m,5
2023-06-17,Gone Girl,2014,https://boxd.it/6hQu,2
2023-06-17,Glass Onion,2022,https://boxd.it/oCkK,3.5
2023-06-17,Avengers: Infinity War,2018,https://boxd.it/9vEe,4
2023-06-17,Inglourious Basterds,2009,https://boxd.it/1JzG,5
2023-06-17,Avengers: Endgame,2019,https://boxd.it/9vE4,4
2023-06-17,Nope,2022,https://boxd.it/sDCe,4
2023-06-17,Baby Driver,2017,https://boxd.it/bhF2,4.5
2023-06-17,Black Panther,2018,https://boxd.it/8MHs,4
2023-06-17,Her,2013,https://boxd.it/4O24,3.5
2023-06-17,The Social Network,2010,https://boxd.it/17ue,4
2023-06-17,Forrest Gump,1994,https://boxd.it/728,4
2023-06-17,Se7en,1995,https://boxd.it/29zs,3.5
2023-06-17,Black Swan,2010,https://boxd.it/Sw0,3
2023-06-17,Django Unchained,2012,https://boxd.it/2cCk,5
2023-06-17,The Silence of the Lambs,1991,https://boxd.it/2aHW,3.5
2023-06-17,Guardians of the Galaxy,2014,https://boxd.it/3VH2,4
2023-06-17,The Matrix,1999,https://boxd.it/2a1m,4
2023-06-17,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,4
2023-06-17,Shutter Island,2010,https://boxd.it/1U82,4.5
2024-02-28,Drive-Away Dolls,2024,https://boxd.it/A8vi,3
2024-02-28,The Boy and the Heron,2023,https://boxd.it/ipeM,4
2024-02-28,Bottoms,2023,https://boxd.it/uGf2,4.5
2024-02-28,Saltburn,2023,https://boxd.it/z4eg,4
2024-02-28,The Holdovers,2023,https://boxd.it/vHza,3.5
2024-02-28,John Wick: Chapter 4,2023,https://boxd.it/mh48,4
2024-02-28,Dungeons & Dragons: Honor Among Thieves,2023,https://boxd.it/hN1A,4
2024-02-28,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/l7zS,3
2024-02-28,Indiana Jones and the Dial of Destiny,2023,https://boxd.it/b8vM,1
2024-02-28,Napoleon,2023,https://boxd.it/shJM,3
2024-02-28,Dream Scenario,2023,https://boxd.it/v2h0,5
2024-02-28,Theater Camp,2023,https://boxd.it/Bfbm,5
2024-02-28,No One Will Save You,2023,https://boxd.it/uUO6,1
2025-09-10,Eddington,2025,https://boxd.it/o6MC,5
2025-09-10,The Empire Strikes Back,1980,https://boxd.it/27Vw,5
2025-09-10,The Goonies,1985,https://boxd.it/1YVC,5
2025-09-10,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,5
2025-09-10,The Fantastic Four: First Steps,2025,https://boxd.it/mP6C,4
